Project Rank,Holder Rank,Address,Reward (sFTMx),Reward ($)
Winner 1,440,0x8553e24b9eb99c21ea96a3e167cf4b8c75fb345c,12.11762587,7.823139262
Winner 1,441,0x54ba3ff9ddbd2dee95cda54e863b07b0cdad2ee4,12.1172567,7.822900926
Winner 1,442,0x588a602fc7129a32591c467b017c524b001bf344,12.1172567,7.822900926
Winner 1,443,0xa6861734e12e45e3b3a1dfc3d06d1bc5d3c34589,12.1172567,7.822900926
Winner 1,444,0xbd12dd58a244bdc0b6a2ac9699f94aa181ac9ee9,12.1172567,7.822900926
Winner 1,445,0x329b0f4597b15cd81d6f62dcf2ad6b3fe1d74d87,12.1172567,7.822900926
Winner 1,446,0x1096cb8f6e17db5a072fa5b19dc4b8f212cb36e3,12.1172567,7.822900926
Winner 1,447,0xef616b8b7e5f1a6387976e249b56e8e131aeaaf6,12.1172567,7.822900926
Winner 1,448,0x6b6ca48da27304eeeb1d15d355d948f68b852733,12.1172567,7.822900926
Winner 1,449,0x840745933bb29d67ebd6c756692b84a70efdfd76,12.1172567,7.822900926
Winner 1,450,0x3ef000bae3e8105be55f76fda784fd7d69cff30e,12.1172567,7.822900926
Winner 1,451,0xbd1a7e79051f12ae5761a6192a1d75561fc58a88,12.1172567,7.822900926
Winner 1,452,0x4d4f26bff1022eacdc8369aa12bf800211be86ac,12.1172567,7.822900926
Winner 1,453,0x7a4f37457af752b432d3cd99a950a23157ca1eac,12.1172567,7.822900926
Winner 1,454,0x8ceff1ad0171bfb91ec3b6bc6283765317601596,12.1172567,7.822900926
Winner 1,455,0x33ec34b1b4bfcdc9b5e37ba4ab02f6e993a457ae,12.1172567,7.822900926
Winner 1,456,0x733ec37e88b51f430a70bd61729527a0c7ee577f,12.1172567,7.822900926
Winner 1,457,0xb1ed930c6cfbab7d125251925d3aa19688db890a,12.1172567,7.822900926
Winner 1,458,0xe0ad5f6422687bf667d09590383fdc3c0f8af392,12.1172567,7.822900926
Winner 1,459,0x383d2594e01949103dcc24b621a5ed335242e6b4,12.1172567,7.822900926
Winner 1,460,0x634fbb6efdc7a0b58d869c3b878fd5d6ccd96fab,12.1172567,7.822900926
Winner 1,461,0x44c94b0bf6ac054911e43fcfec33167e3c9bfcf0,12.1172567,7.822900926
Winner 1,462,0x53a805f7a8f2ede77eef97722818273faceccd0c,12.1172567,7.822900926
Winner 1,463,0x4815ee939fe2efec2f7bc415f0ce2282f6417fe9,12.1172567,7.822900926
Winner 1,464,0xb5655db628f80fafed5809e64a37cb8af9ccaba9,12.1172567,7.822900926
Winner 1,465,0x2775fb7e8ac8a3ab06c9bf324c5f2c568d3768df,12.1172567,7.822900926
Winner 1,466,0xdc9d628590d8c6ba4e29abeb8431780a8f2aa0a8,12.1172567,7.822900926
Winner 1,467,0x1d25ecc34a5034ef0d9d449d46c53efd3a07da3a,12.1172567,7.822900926
Winner 1,468,0xfd5f1397e32506aadae56514bcf6ce4246ecda0c,12.1172567,7.822900926
Winner 1,469,0x5882aa5d97391af0889dd4d16c3194e96a7abe00,12.1172567,7.822900926
Winner 1,470,0xd65c9a1ef375c5f4c7300f7c45eed8d94a1c4a4f,12.1172567,7.822900926
Winner 1,471,0x892382845faf38bbf7b618f198bbedf231900d5c,12.1172567,7.822900926
Winner 1,472,0xbf2c15b45c90bcd1d6f78886ebfd91c5f02aebd4,12.1172567,7.822900926
Winner 1,473,0x37913f818150c1088eb8be8a658362ed22610719,12.1172567,7.822900926
Winner 1,474,0x5370b3ca55bb561e7bc050c81848873b9bcebbec,12.1172567,7.822900926
Winner 1,475,0x8918cdfba908397dc04dca6d02c5106c910ce942,12.1172567,7.822900926
Winner 1,476,0x80d762e5a4dc2bc237f594a7f696b5e216067036,12.1172567,7.822900926
Winner 1,477,0x254cf18c0bd03c4444aacc43128bf99787d579a8,12.1172567,7.822900926
Winner 1,478,0xb0720a40d6335df0ac90ff9e4b755217632ca78c,12.1172567,7.822900926
Winner 1,479,0x5cbf8c43b11a3b120d2cc2955f9b638303e0d22f,12.1172567,7.822900926
Winner 1,480,0x14f02a817c69bed67d6ebf05f0440107fb3f0568,12.1172567,7.822900926
Winner 1,481,0xf54711eb8bd9321ae38e3ffbc401848f168f128f,12.1172567,7.822900926
