Address,reward_sftmx,reward_usd_end,reward_usd_dist
0xfff1996ca66c51a279e3464775de6ba11745b168,8351.720231187259,5391.870581254494,5606.960784088492
0xe600e90b0c4b46d40face45c49811c7cbe9b4b61,8074.329117799406,5212.786878451297,5420.733150551104
0x5f0874d5e6aa0f6d7f51accf9c52e0827143f0d6,8044.438840305766,5193.489715301402,5400.666193194637
0x199745e7b4efead0b2f027e3c3c88b1c77b3b780,7513.73982135728,4850.87042866826,5044.3792840274955
0xbaf347957cefc99027af15a8ef4bc50ad1a56990,7041.329284757749,4545.882186239603,4727.224580639254
0x7a4a37dd112e8bbc6799b26f82faa76c3fc94078,6199.029454047024,4002.0934155327595,4161.743220092287
0xa258374017754119ae102bab4752058cddb40933,6142.174391428741,3965.387787106395,4123.573346383251
0x5bfd4428087a2fe1638d2f9e784b3c1799787a50,5886.828705717681,3800.5366124113348,3952.1459988983884
0x62824cee52da61449023f3a7cfdfadd3e74dd22e,5405.6618853585305,3489.8953131874678,3629.112729382992
0x55d564bdad517cc4721ba7ab7612c97d888d4b7a,5339.001177239584,3446.859160025875,3584.359796344504
0xd1eeb49d8927b86bef61d384eb4e09a4cdb02ac4,4979.837939496219,3214.983373738759,3343.234120032545
0x4fbe05004bdc105ecfc81b3e8afbd946c2634081,4967.285842996124,3206.8797402382975,3334.8072198388204
0x62c6e060ea69b7c6d145b73bc834ede9a1b7eed8,4874.268838981082,3146.827962446187,3272.359882125306
0x72395c24353184ba6b42011af8f63568e0342468,4692.912114638978,3029.7440612109244,3150.6053198113373
0x69b5f5e85ce1b82b383034a1c2629c143b8e29a9,4671.524668527725,3015.9363260014993,3136.246772314763
0x377f8d3d43c8e2b1f5dd5b62ed7ffd9578a0affc,4658.030007244024,3007.224172676742,3127.187077483305
0xb4f7799b5b25f758e49f56b80d834817cd8588bd,4576.763586274799,2954.7585712990103,3072.628540699932
0x0c5a2c72c009252f0e7312f5a1ab87de02be6fbe,4528.0290419234125,2923.295549465755,3039.9104094114505
0x89b0e37036d2c8f0d1557ef16403903b6783a43b,4520.227515254868,2918.2588838485426,3034.672823276417
0x137a48f028be804425428cdd1591675a583235e0,4310.717023587684,2782.9989104282085,2894.017116653686
0xb6700529a81d11af7d8af57ac319a3f6e5e6ef60,4257.673579710963,2748.754063061398,2858.4061884332746
0xcfbfd8fbcd146aa249fd7be5f9287ec13101359d,4011.1821673235995,2589.619207224116,2692.923192761368
0x52903d932a72e2cea4d15816985495a1ea407b7c,4005.668473663924,2586.0595665974292,2689.22155246817
0x840745933bb29d67ebd6c756692b84a70efdfd76,3986.638490569546,2573.773809511699,2676.445697197827
0xa6e950aa70ebaaf99686a5d95afe8aca8b5e353b,3855.4628234971115,2489.0867988497353,2588.38038840608
0xba0c41eb89ed6e2accf70f91a6fa07f79f3b5cc6,3720.5534932975247,2401.989335272882,2497.808469939267
0xb9a03d417cec412e69bfd9c52fd928ffb717cebe,3687.8870289789406,2380.899865908804,2475.877708453128
0xc6b16646d94c2e0932f1f728c83e782998c19ccf,3631.182709211851,2344.2915570671707,2437.8090365602134
0xf947c3c9ada5ca0995d56802bc8a21c5e8e523dd,3627.8799397397624,2342.1592890959905,2435.591709064049
0x0bd43f463074e731718f970c35b3fa7c8184c642,3479.689087412747,2246.4872748336697,2336.1031875908975
0x5a8550dc4db218f563c8cbaa6474c984061ae66c,3406.1388637687705,2199.0032504491182,2286.72495074662
0x381dbcc8888642ef87da499aeee039b074768c1e,3404.168661011833,2197.73128754924,2285.402247244939
0xaae5f9ad45de6fd0a884caf6690d6add51d1e336,3279.787073000364,2117.4305343290353,2201.8981706070863
0x6bce18f6520549cc21fb82772e916c84d44278d8,3188.6491238878393,2058.591874381989,2140.7123439185966
0xd3c6166da8b69e9a67fdcd6f79abae98e3d05238,3012.8014673120874,1945.0646272966835,2022.6563162858392
